mist,Mist,"For 5 turns, protects user's party from stat drops.",白雾,使己方场地在5回合内处于白雾状态。处于白雾状态的场地上的宝可梦的能力变化不会下降。,Neblina,Impide las reducciones de stats por parte de los movimientos del rival o tu compañero durante 5 turnos.
mistball,Mist Ball,50% chance to lower the target's Sp. Atk by 1.,薄雾球,攻击目标造成伤害。50%几率令目标的特攻降低1级。,Bola Neblina,50% de reducir un nivel el Ataque Especial al rival.
mistyexplosion,Misty Explosion,User faints. User on Misty Terrain: 1.5x power.,薄雾炸裂,对自己周围的所有宝可梦进行攻击，自己陷入濒死。在薄雾场地上，招式威力会提高50%。,Misty Explosion,User faints. User on Misty Terrain: 1.5x power.
mistyterrain,Misty Terrain,"5 turns. Can't status,-Dragon power vs grounded.",薄雾场地,5回合内地面上的宝可梦免受异常状态影响。使龙属性招式的伤害减半。,Campo de Niebla,"Crea un campo de niebla durante 5 turnos. Los Pokémon en el suelo no pueden ver alterado su estado, y reciben la mitad de daño de ataques de tipo Dragón."
moonblast,Moonblast,30% chance to lower the target's Sp. Atk by 1.,月亮之力,攻击目标造成伤害。30%几率令目标的特攻降低1级。,Fuerza Lunar,30% de reducir un nivel el Ataque Especial al rival.
moongeistbeam,Moongeist Beam,Ignores the Abilities of other Pokemon.,暗影之光,攻击目标造成伤害。攻击时能够使目标特性失效。,Rayo Umbrío,Ignora las habilidades de los Pokémon en juego.
moonlight,Moonlight,Heals the user by a weather-dependent amount.,月光,月光恢复使用者的ＨＰ值。恢复量由当前天气决定。,Luz Lunar,"El usuario recupera 66.6% PS en Día Soleado, 50% PS si no hay clima, y 25% en Llovizna, Granizo o Tormenta de Arena."
morningsun,Morning Sun,Heals the user by a weather-dependent amount.,晨光,晨光恢复使用者的ＨＰ值。恢复量由当前天气决定。,Sol Matinal,"El usuario recupera 66.6% PS en Día Soleado, 50% PS si no hay clima, y 25% en Llovizna, Granizo o Tormenta de Arena."
mudbomb,Mud Bomb,30% chance to lower the target's accuracy by 1.,泥巴炸弹,攻击目标造成伤害。30%几率令目标的命中率降低1级。,Bomba Fango,30% de reducir un nivel la Precisión al rival.
mudshot,Mud Shot,100% chance to lower the target's Speed by 1.,泥巴射击,攻击目标造成伤害。100%几率令目标的速度降低1级,Disparo Lodo,100% de reducir un nivel la Velocidad al rival.
mudslap,Mud-Slap,100% chance to lower the target's accuracy by 1.,掷泥,攻击目标造成伤害。100%几率令目标的命中率降低1级。,Bofetón Lodo,100% de reducir un nivel la Precisión al rival.
mudsport,Mud Sport,"For 5 turns, Electric-type attacks have 1/3 power.",玩泥巴,使场地进入玩泥巴状态５回合，降低电属性招式的威力。,Chapoteo Lodo,Todos los ataques tipo Eléctrico hacen la mitad de daño hasta que el usuario sea intercambiado.
muddywater,Muddy Water,30% chance to lower the foe(s) accuracy by 1.,浊流,攻击目标造成伤害。30%几率令目标的命中率降低1级,Agua Lodosa,30% de reducir un nivel la Precisión al rival.
multiattack,Multi-Attack,Type varies based on the held Memory.,多属性攻击,攻击目标造成伤害。招式属性根据使用者进入战斗时携带的存储碟决定。,Multiataque,El tipo del ataque depende de la Memoria equipada.
mysticalfire,Mystical Fire,100% chance to lower the target's Sp. Atk by 1.,魔法火焰,攻击目标造成伤害。100%几率令目标的特攻降低1级。,Llama Embrujada,100% de reducir un nivel el Ataque Especial al rival.
nastyplot,Nasty Plot,Raises the user's Sp. Atk by 2.,诡计,令使用者的特攻提升2级。,Maquinación,Aumenta dos niveles el Ataque Especial al usuario.
naturalgift,Natural Gift,Power and type depends on the user's Berry.,自然之恩,攻击目标造成伤害，威力和属性取决于这只宝可梦身上的树果。,Don Natural,"El tipo y poder del ataque dependen de la Baya equipada, que se consume con el uso. El poder puede ser 60, 70 ú 80. La Baya se puede recuperar con Reciclaje."
naturepower,Nature Power,Attack depends on terrain (default Tri Attack).,自然之力,根据地形或场地型状态的不同使用另一个招式，场地型状态的效果覆盖地形的效果。,Adaptación,Este movimiento se convierte en otro movimiento según el terreno en que tenga lugar la batalla.
naturesmadness,Nature's Madness,Does damage equal to 1/2 target's current HP.,自然之怒,攻击目标造成固定伤害，伤害值为对手剩余ＨＰ的一半，向下取整，但最小为1。,Nature's Madness,Does damage equal to 1/2 target's current HP.
needlearm,Needle Arm,30% chance to flinch the target.,尖刺臂,攻击目标造成伤害。30%的几率使目标陷入畏缩状态。,Brazo Pincho,30% de hacer retroceder al rival.
neverendingnightmare,Never-Ending Nightmare,Power is equal to the base move's Z-Power.,无尽暗夜之诱惑,通过Ｚ力量召唤强烈的怨念，全力降临到对手身上。威力会根据原来的招式而改变。,Presa Espectral,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
nightdaze,Night Daze,40% chance to lower the target's accuracy by 1.,暗黑爆破,攻击目标造成伤害。40%几率令目标的命中率降低1级。,Pulso Noche,40% de reducir un nivel la Precisión al rival.
nightmare,Nightmare,A sleeping target is hurt by 1/4 max HP per turn.,恶梦,处于恶梦状态的宝可梦在每个回合结束时损失最大ＨＰ的1⁄4。,Pesadilla,Causa un 25% de daño al Pokémon rival cada turno mientras permanezca dormido.
nightshade,Night Shade,Does damage equal to the user's level.,黑夜魔影,造成与使用者等级相等的固定伤害。,Tinieblas,Causa un daño equivalente al nivel del usuario.
nightslash,Night Slash,High critical hit ratio.,暗袭要害,攻击目标造成伤害。击中要害率比普通招式高1级。,Tajo Umbrío,Alta probabilidad de Golpe Crítico.
nobleroar,Noble Roar,Lowers the target's Attack and Sp. Atk by 1.,战吼,令目标的攻击、特攻各降低1级。,Rugido de Guerra,Baja un nivel el Ataque y el Ataque Especial al rival.
noretreat,No Retreat,Raises all stats by 1 (not acc/eva). Traps user.,背水一战,令使用者的攻击、防御、特攻、特防和速度提升1级。使用者进入无法逃走状态。,No Retreat,Raises all stats by 1 (not acc/eva). Traps user.
nuzzle,Nuzzle,100% chance to paralyze the target.,蹭蹭脸颊,攻击目标造成伤害，蹭蹭脸颊会使目标陷入麻痹状态。,Moflete Estático,100% de paralizar al rival.
oblivionwing,Oblivion Wing,User recovers 75% of the damage dealt.,死亡之翼,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的75%。,Ala Mortífera,El usuario recupera PS equivalente al 75% del daño causado.
obstruct,Obstruct,Protects from damaging attacks. Contact: -2 Def.,拦堵,完全抵挡对手的攻击。连续使出则容易失败。一旦触碰，令攻击方的防御下降2级。,Obstruct,Protects from damaging attacks. Contact: -2 Def.
oceanicoperetta,Oceanic Operetta,No additional effect.,海神庄严交响乐,通过Ｚ力量召唤大量水的西狮海壬将全力攻击对手。,Sinfonía de la Diva Marina,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Primarina con Primastal Z equipado.
octazooka,Octazooka,50% chance to lower the target's accuracy by 1.,章鱼桶炮,攻击目标造成伤害。50%几率令目标的命中率降低1级,Pulpocañón,50% de reducir un nivel la Precisión al rival.
octolock,Octolock,"Traps target, lowers Def and SpD by 1 each turn.",蛸固,让对手无法逃走。并每回合都会降低防御和特防1级。,Octolock,"Traps target, lowers Def and SpD by 1 each turn."
odorsleuth,Odor Sleuth,"Fighting, Normal hit Ghost. Evasiveness ignored.",气味侦测,对幽灵属性宝可梦没有效果的招式以及闪避率高的对手，使用后变得能够打中。,Rastreo,"Hasta el intercambio o derrota del rival, su Evasión y tu Precisión no pueden ser modificados. Si el rival es de tipo Fantasma, no es inmune a ataques de tipo Normal o Lucha."
ominouswind,Ominous Wind,10% chance to raise all stats by 1 (not acc/eva).,奇异之风,攻击目标造成伤害。10%几率令使用者的攻击、防御、特攻、特防和速度提升1级。,Viento Aciago,"10% de aumentar un nivel el Ataque, la Defensa, la Velocidad, el Ataque Especial y la Defensa Especial al usuario."
originpulse,Origin Pulse,No additional effect. Hits adjacent foes.,根源波动,攻击目标造成伤害。,Pulso Primigenio,Ninguno.
outrage,Outrage,Lasts 2-3 turns. Confuses the user afterwards.,逆鳞,在２～３回合内，乱打一气地进行攻击。大闹一番后自己会陷入混乱。,Enfado,"El usuario golpea con este ataque durante 2 ó 3 turnos sin poder ser intercambiado, tras lo cual pasa a estar confundido."
overdrive,Overdrive,No additional effect. Hits foe(s).,破音,攻击目标造成伤害。,Overdrive,No additional effect. Hits foe(s).
overheat,Overheat,Lowers the user's Sp. Atk by 2.,过热,攻击目标造成伤害。令使用者的特攻降低2级。,Sofoco,100% de reducir dos niveles el Ataque Especial al usuario.
painsplit,Pain Split,Shares HP of user and target equally.,分担痛楚,将自己的ＨＰ和对手的ＨＰ相加，然后自己和对手友好地平分。,Divide Dolor,Suma los PS actuales del usuario y del rival y luego los reparte por igual entre los dos.
paleowave,Paleo Wave,20% chance to lower the target's Attack by 1.,海浪,20%几率使目标的攻击降低1。,Paleo Wave,20% chance to lower the target's Attack by 1.
paraboliccharge,Parabolic Charge,User recovers 50% of the damage dealt.,抛物面充电,攻击周围的目标造成伤害，自身的ＨＰ恢复对所有目标造成的总伤害的50%。,Carga Parábola,El usuario recupera PS equivalente a la mitad del daño causado.
partingshot,Parting Shot,"Lowers target's Atk, Sp. Atk by 1. User switches.",抛下狠话,令目标的攻击、特攻各降低1级。,Última Palabra,Baja un nivel el Ataque y el Ataque Especial al rival. El Pokémon debe ser intercambiado tras usar este ataque. Permite escapar de trampas y pseudo-trampas.
payback,Payback,Power doubles if the user moves after the target.,以牙还牙,蓄力攻击。如果能在对手之后攻击，招式的威力会变成２倍。,Vendetta,Su poder base se duplica si el rival ya se ha movido ese turno.
payday,Pay Day,Scatters coins.,聚宝功,攻击目标造成伤害。每使用一次这个招式，向地上投掷5×使用者等级的金币。,Día de Pago,Recolecta dinero tras batallas contra Pokémon salvajes o entrenadores del juego.
peck,Peck,No additional effect.,啄,攻击目标造成伤害。,Picotazo,Ninguno.
perishsong,Perish Song,All active Pokemon will faint in 3 turns.,灭亡之歌,陷入灭亡之歌状态当回合的3回合之后宝可梦陷入濒死状态，替换后效果消失。,Canto Mortal,Todos los Pokémon en batalla al producirse este ataque caerán debilitados al cabo de tres turnos salvo que sean intercambiados (sin Relevo).
petalblizzard,Petal Blizzard,No additional effect. Hits adjacent Pokemon.,落英缤纷,对攻击目标造成伤害。,Tormenta Floral,Ninguno.
petaldance,Petal Dance,Lasts 2-3 turns. Confuses the user afterwards.,花瓣舞,攻击随机一位对手造成伤害。接下来的2～3回合强制使用花瓣舞进行攻击。,Danza Pétalo,"El usuario golpea con este ataque durante 2 ó 3 turnos sin poder ser intercambiado, tras lo cual pasa a estar confundido."
phantomforce,Phantom Force,Disappears turn 1. Hits turn 2. Breaks protection.,潜灵奇袭,第１回合消失在某处，第２回合攻击对手。可以无视守护进行攻击。,Golpe Fantasma,"Precisa un turno de preparación en las tinieblas, en que es totalmente inmune. Su golpe no es evitado por Protección o Detección."
photongeyser,Photon Geyser,Physical if user's Atk > Sp. Atk. Ignores Abilities.,光子喷涌,攻击目标造成伤害。如果使用者的攻击大于特攻，则此招式变成物理招式。并使其特性失效。,Géiser Fotónico,"El daño de este ataque se calcula con el stat de Ataque o de Ataque Especial, en función de cuál sea más alto."
pikapapow,Pika Papow,Max happiness: 102 power. Can't miss.,闪闪雷光,攻击目标造成伤害。威力随着亲密度增加，为亲密度÷2.5；最大102，最小1。,Pikatormenta,"Su poder base depende de la Felicidad del Pokémon, entre 0 y 102."
pinmissile,Pin Missile,Hits 2-5 times in one turn.,飞弹针,攻击目标造成伤害，一回合内连续攻击2～5次。,Pin Misil,Golpea de 2 a 5 veces seguidas.
plasmafists,Plasma Fists,Normal moves become Electric type this turn.,等离子闪电拳,攻击目标造成伤害。直到回合结束，所有一般属性招式都是电属性。,Puños Plasma,Los movimientos de tipo Normal pasan a ser de tipo Eléctrico.
playnice,Play Nice,Lowers the target's Attack by 1.,和睦相处,令目标的攻击降低1级。,Camaradería,"Baja un nivel el Ataque al rival. Golpea aunque el rival use Protección, Detección o Barrera Espinosa ese turno, los cuales se ven anulados."
playrough,Play Rough,10% chance to lower the target's Attack by 1.,嬉闹,攻击目标造成伤害。10%几率令目标的攻击降低1级。,Carantoña,10% de reducir un nivel el Ataque al rival.
pluck,Pluck,User steals and eats the target's Berry.,啄食,攻击目标造成伤害。如果目标携带了树果，消耗掉目标的树果。,Picoteo,"Si el rival lleva una Baya equipada, el usuario se la coge y la usa en ese instante. Kouba se activa y reduce el daño de este ataque. La Baya se puede recuperar con Reciclaje."
poisonfang,Poison Fang,50% chance to badly poison the target.,剧毒牙,攻击目标造成伤害。50%的几率使目标陷入剧毒状态。,Colmillo Ven,50% de intoxicar al rival.
